dist_id,district,flood11,flood12,flood13,flood14,flood15,flood16,Popl,wat_cov,san_cov,hw_cov,score,cas11,cas12,cas13,cas14,cas15,cas16,lat,lon,region,total_flood_years,total_cases,cases_per_100k,flood_years_pct,neighbor_mean_rate,lisa_class,local_morans_i
51,Kibaale,1,1,0,0,0,1,785088,88,84.0,46.0,60,0,386,0,0,0,0,0.8,31.1,Western,3,386,49.16646286785686,50.0,60.42032440583191,High-High (Hotspot Cluster),0.06386637582105659
52,Kiboga,0,0,0,1,0,1,148218,59,60.0,10.6,45,0,0,0,0,0,0,0.92,31.77,Central,2,0,0.0,33.33333333333333,60.42032440583191,Low-High (Outlier),-0.15436554557485088
53,Kibuku,0,0,0,0,0,0,202033,91,85.7,25.0,50,0,0,0,0,0,81,1.05,33.8,Eastern,0,81,40.09246014264996,0.0,28.466306814515537,High-High (Hotspot Cluster),-0.00227696997210465
54,Kiruhura,0,0,0,0,1,0,328077,20,91.0,45.0,63,0,0,0,0,0,0,-0.2,30.8,Western,1,0,0.0,16.666666666666664,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
55,Kiryandongo,0,0,0,0,0,0,266197,88,68.2,25.0,61,0,0,0,0,0,0,1.9,32.1,Western,0,0,0.0,0.0,0.7805249125638902,Low-Low (Coldspot Cluster),0.1615553625409634
56,Kisoro,0,1,1,0,1,0,281705,95,77.3,21.0,50,0,0,0,0,0,0,-1.28,29.68,Western,3,0,0.0,50.0,10.168608235301594,Low-High (Outlier),0.1118252857468419
57,Kitgum,1,1,0,0,0,0,204048,92,59.0,24.5,62,0,0,0,0,0,0,3.28,32.88,Northern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
58,Koboko,1,0,1,0,0,0,206495,92,78.0,31.2,55,0,2,41,0,0,0,3.42,30.96,Northern,2,43,20.823748759049856,33.33333333333333,39.626348010941214,High-High (Hotspot Cluster),-0.017741220614340147
59,Kole,1,1,0,0,0,0,239327,84,78.0,43.0,55,0,0,0,0,0,0,2.4,32.75,Northern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
60,Kotido,1,1,1,0,0,0,181050,94,8.4,0.1,25,0,0,0,0,0,0,2.98,34.13,Northern,3,0,0.0,50.0,2.3203650707711345,Low-Low (Coldspot Cluster),0.15339859968684041
61,Kumi,1,0,0,0,0,1,239268,85,92.0,86.0,60,0,0,0,0,0,0,1.45,33.93,Eastern,2,0,0.0,33.33333333333333,15.490306096466341,Low-High (Outlier),0.0836354588979618
62,Kween,1,0,0,0,0,0,93667,88,80.0,19.2,40,0,0,0,0,0,0,1.55,34.6,Eastern,1,0,0.0,16.666666666666664,20.50404283677306,Low-High (Outlier),0.057076948012456344
