dist_id,district,lat,lon,region,year,flooded,cases,population,wat_cov,san_cov,hw_cov,score,case_rate_per_100k
19,Bulambuli,1.1,34.45,Eastern,2015,0,0,174508,93,70.6,29.4,48,0.0
19,Bulambuli,1.1,34.45,Eastern,2016,0,284,174508,93,70.6,29.4,48,162.7432553235382
20,Buliisa,2.1,31.4,Western,2011,1,0,113161,93,68.0,40.0,68,0.0
20,Buliisa,2.1,31.4,Western,2012,0,1021,113161,93,68.0,40.0,68,902.2543102305564
20,Buliisa,2.1,31.4,Western,2013,1,108,113161,93,68.0,40.0,68,95.43924143476993
20,Buliisa,2.1,31.4,Western,2014,0,0,113161,93,68.0,40.0,68,0.0
20,Buliisa,2.1,31.4,Western,2015,0,0,113161,93,68.0,40.0,68,0.0
20,Buliisa,2.1,31.4,Western,2016,0,0,113161,93,68.0,40.0,68,0.0
21,Bundibugyo,0.7,30.06,Western,2011,1,0,224387,88,72.0,26.0,30,0.0
21,Bundibugyo,0.7,30.06,Western,2012,0,458,224387,88,72.0,26.0,30,204.11164639662724
21,Bundibugyo,0.7,30.06,Western,2013,0,0,224387,88,72.0,26.0,30,0.0
21,Bundibugyo,0.7,30.06,Western,2014,0,0,224387,88,72.0,26.0,30,0.0
21,Bundibugyo,0.7,30.06,Western,2015,0,0,224387,88,72.0,26.0,30,0.0
21,Bundibugyo,0.7,30.06,Western,2016,0,0,224387,88,72.0,26.0,30,0.0
22,Bushenyi,-0.58,30.18,Western,2011,0,0,234440,79,92.6,38.8,65,0.0
22,Bushenyi,-0.58,30.18,Western,2012,0,0,234440,79,92.6,38.8,65,0.0
22,Bushenyi,-0.58,30.18,Western,2013,0,0,234440,79,92.6,38.8,65,0.0
22,Bushenyi,-0.58,30.18,Western,2014,1,0,234440,79,92.6,38.8,65,0.0
22,Bushenyi,-0.58,30.18,Western,2015,1,0,234440,79,92.6,38.8,65,0.0
22,Bushenyi,-0.58,30.18,Western,2016,0,0,234440,79,92.6,38.8,65,0.0
23,Busia,0.46,34.09,Eastern,2011,0,0,323662,94,88.2,46.6,52,0.0
23,Busia,0.46,34.09,Eastern,2012,0,0,323662,94,88.2,46.6,52,0.0
23,Busia,0.46,34.09,Eastern,2013,0,0,323662,94,88.2,46.6,52,0.0
23,Busia,0.46,34.09,Eastern,2014,0,0,323662,94,88.2,46.6,52,0.0
23,Busia,0.46,34.09,Eastern,2015,1,246,323662,94,88.2,46.6,52,76.00521531721363
23,Busia,0.46,34.09,Eastern,2016,0,4,323662,94,88.2,46.6,52,1.23585715962949
24,Butaleja,0.85,33.93,Eastern,2011,1,0,244153,96,75.0,32.0,48,0.0
24,Butaleja,0.85,33.93,Eastern,2012,0,17,244153,96,75.0,32.0,48,6.962847067207857
24,Butaleja,0.85,33.93,Eastern,2013,0,0,244153,96,75.0,32.0,48,0.0
24,Butaleja,0.85,33.93,Eastern,2014,1,0,244153,96,75.0,32.0,48,0.0
24,Butaleja,0.85,33.93,Eastern,2015,0,0,244153,96,75.0,32.0,48,0.0
24,Butaleja,0.85,33.93,Eastern,2016,1,264,244153,96,75.0,32.0,48,108.12891916134554
25,Butambala,0.2,32.1,Central,2011,0,0,100840,77,68.0,47.0,43,0.0
25,Butambala,0.2,32.1,Central,2012,1,0,100840,77,68.0,47.0,43,0.0
25,Butambala,0.2,32.1,Central,2013,0,0,100840,77,68.0,47.0,43,0.0
25,Butambala,0.2,32.1,Central,2014,1,0,100840,77,68.0,47.0,43,0.0
25,Butambala,0.2,32.1,Central,2015,0,0,100840,77,68.0,47.0,43,0.0
25,Butambala,0.2,32.1,Central,2016,0,0,100840,77,68.0,47.0,43,0.0
26,Buvuma,-0.35,33.3,Central,2011,0,0,89890,51,38.0,12.0,30,0.0
26,Buvuma,-0.35,33.3,Central,2012,0,0,89890,51,38.0,12.0,30,0.0
26,Buvuma,-0.35,33.3,Central,2013,1,0,89890,51,38.0,12.0,30,0.0
26,Buvuma,-0.35,33.3,Central,2014,0,0,89890,51,38.0,12.0,30,0.0
26,Buvuma,-0.35,33.3,Central,2015,0,0,89890,51,38.0,12.0,30,0.0
26,Buvuma,-0.35,33.3,Central,2016,0,17,89890,51,38.0,12.0,30,18.91200355990655
27,Buyende,1.15,33.15,Eastern,2011,0,0,323067,91,81.3,25.3,43,0.0
27,Buyende,1.15,33.15,Eastern,2012,0,0,323067,91,81.3,25.3,43,0.0
27,Buyende,1.15,33.15,Eastern,2013,1,0,323067,91,81.3,25.3,43,0.0
27,Buyende,1.15,33.15,Eastern,2014,0,0,323067,91,81.3,25.3,43,0.0
